arm,N,K,track,metric,numerator,denominator,scored,coverage,value,unit,status
A,11,11,S,native_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
A,11,11,S,H_accuracy,3,6,6,1.0,0.5,QA,COMPLETE
A,11,11,S,H_retention,2,4,4,1.0,0.5,QA,COMPLETE
A,11,11,S,H_fix,1,2,2,1.0,0.5,QA,COMPLETE
A,11,11,S,U_retention,2,8,8,1.0,0.25,QA,COMPLETE
A,11,11,S,U_fixed_panel_accuracy,2,9,9,1.0,0.2222222222222222,QA,COMPLETE
A,11,11,S,native_rephrase_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
A,11,11,S,anchor_PairCorrect,6.0,11,11,1.0,0.5454545454545454,edit_macro,COMPLETE
B,11,11,S,native_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
B,11,11,S,H_accuracy,3,6,6,1.0,0.5,QA,COMPLETE
B,11,11,S,H_retention,2,4,4,1.0,0.5,QA,COMPLETE
B,11,11,S,H_fix,1,2,2,1.0,0.5,QA,COMPLETE
B,11,11,S,U_retention,0,8,8,1.0,0.0,QA,COMPLETE
B,11,11,S,U_fixed_panel_accuracy,0,9,9,1.0,0.0,QA,COMPLETE
B,11,11,S,native_rephrase_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
B,11,11,S,anchor_PairCorrect,3.0,11,11,1.0,0.2727272727272727,edit_macro,COMPLETE
A,32,11,S,native_accuracy,32,32,32,1.0,1.0,QA,COMPLETE
A,32,11,S,H_accuracy,4,6,6,1.0,0.6666666666666666,QA,COMPLETE
A,32,11,S,H_retention,2,4,4,1.0,0.5,QA,COMPLETE
A,32,11,S,H_fix,2,2,2,1.0,1.0,QA,COMPLETE
A,32,11,S,U_retention,4,8,8,1.0,0.5,QA,COMPLETE
A,32,11,S,U_fixed_panel_accuracy,4,9,9,1.0,0.4444444444444444,QA,COMPLETE
A,32,11,S,native_rephrase_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
A,32,11,S,anchor_PairCorrect,8.0,11,11,1.0,0.7272727272727273,edit_macro,COMPLETE
B,32,11,S,native_accuracy,32,32,32,1.0,1.0,QA,COMPLETE
B,32,11,S,H_accuracy,4,6,6,1.0,0.6666666666666666,QA,COMPLETE
B,32,11,S,H_retention,2,4,4,1.0,0.5,QA,COMPLETE
B,32,11,S,H_fix,2,2,2,1.0,1.0,QA,COMPLETE
B,32,11,S,U_retention,4,8,8,1.0,0.5,QA,COMPLETE
B,32,11,S,U_fixed_panel_accuracy,4,9,9,1.0,0.4444444444444444,QA,COMPLETE
B,32,11,S,native_rephrase_accuracy,11,11,11,1.0,1.0,QA,COMPLETE
B,32,11,S,anchor_PairCorrect,8.0,11,11,1.0,0.7272727272727273,edit_macro,COMPLETE
